,month,avg_high,avg_low,record_high,record_low,avg_precipitation,new_column,new_column_2
0,Jan,58,42,74,22,2.05,new_constant_value,2436
1,Feb,61,45,78,26,3.02,new_constant_value,2745
2,Mar,65,48,84,25,2.34,new_constant_value,3120
3,Apr,67,50,92,28,1.02,new_constant_value,3350
4,May,71,53,98,35,0.48,new_constant_value,3763
5,Jun,75,56,107,41,0.11,new_constant_value,4200
6,Jul,77,58,105,44,0.0,new_constant_value,4466
7,Aug,77,59,102,43,0.03,new_constant_value,4543
8,Sep,77,57,103,40,0.17,new_constant_value,4389
9,Oct,73,54,96,34,0.81,new_constant_value,3942
10,Nov,64,48,84,30,1.7,new_constant_value,3072
11,Dec,58,42,73,21,2.56,new_constant_value,2436
